,Label,Message
115,nonfinancial,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
116,nonfinancial,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
117,nonfinancial,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
118,nonfinancial,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
119,nonfinancial,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
120,nonfinancial,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
121,nonfinancial,here is my new address -apples&pairs&all that malarky
122,nonfinancial,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
123,nonfinancial,I am going to sao mu today. Will be done only at 12 
124,nonfinancial,ÌÏ predict wat time Ì_'ll finish buying?
125,nonfinancial,"Good stuff, will do."
126,nonfinancial,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
127,nonfinancial,Are you there in room.
128,nonfinancial,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
129,nonfinancial,K..k:)how much does it cost?
130,nonfinancial,I'm home.
131,nonfinancial,"Dear, will call Tmorrow.pls accomodate."
132,nonfinancial,First answer my question.
133,nonfinancial,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
134,nonfinancial,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
135,nonfinancial,I only haf msn. It's yijue@hotmail.com
136,nonfinancial,He is there. You call and meet him
137,nonfinancial,No no. I will check all rooms befor activities
138,nonfinancial,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
139,nonfinancial,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
140,nonfinancial,"K, text me when you're on the way"
141,nonfinancial,"Sir, Waiting for your mail."
142,nonfinancial,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
143,nonfinancial,I know you are. Can you pls open the back?
144,nonfinancial,Yes see ya not on the dot
145,nonfinancial,Whats the staff name who is taking class for us?
146,nonfinancial,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
147,nonfinancial,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
148,nonfinancial,K..i deleted my contact that why?
149,nonfinancial,Sindu got job in birla soft ..
150,nonfinancial,The wine is flowing and i'm i have nevering..
151,nonfinancial,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
152,nonfinancial,Ok... Ur typical reply...
153,nonfinancial,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
154,nonfinancial,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
155,nonfinancial,Aaooooright are you at work?
156,nonfinancial,I'm leaving my house now...
157,nonfinancial,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
158,nonfinancial,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
159,nonfinancial,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
160,nonfinancial,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
161,nonfinancial,New car and house for my parents.:)i have only new job in hand:)
162,nonfinancial,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
163,nonfinancial,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
164,nonfinancial,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
165,nonfinancial,I place all ur points on e cultures module already.
166,nonfinancial,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
167,nonfinancial,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
168,nonfinancial,Great escape. I fancy the bridge but needs her lager. See you tomo 
169,nonfinancial,Yes :)it completely in out of form:)clark also utter waste.
170,nonfinancial,"Sir, I need AXIS BANK account no and bank address."
171,nonfinancial,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
172,nonfinancial,What time you coming down later? 
173,nonfinancial,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
174,nonfinancial,"Well, i'm gonna finish my bath now. Have a good...fine night."
175,nonfinancial,Let me know when you've got the money so carlos can make the call
176,nonfinancial,U still going to the mall?
177,nonfinancial,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
178,nonfinancial,Text her. If she doesnt reply let me know so i can have her log in
179,nonfinancial,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
180,nonfinancial,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
181,nonfinancial,Lol no. U can trust me.
182,nonfinancial,ok. I am a gentleman and will treat you with dignity and respect.
183,nonfinancial,"He will, you guys close?"
184,nonfinancial,Going on nothing great.bye
185,nonfinancial,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
186,nonfinancial,"Haha awesome, be there in a minute"
187,nonfinancial,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
188,nonfinancial,Have you got Xmas radio times. If not i will get it now
189,nonfinancial,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
190,nonfinancial,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
191,nonfinancial,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
192,nonfinancial,Hi :)finally i completed the course:)
193,nonfinancial,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
194,nonfinancial,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
195,nonfinancial,Gud mrng dear hav a nice day
196,nonfinancial,Did u got that persons story
197,nonfinancial,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
198,nonfinancial,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
199,nonfinancial,"Found it, ENC  &lt;#&gt; , where you at?"
200,nonfinancial,I sent you  &lt;#&gt;  bucks
201,nonfinancial,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
202,nonfinancial,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
203,nonfinancial,Goodmorning sleeping ga.
204,nonfinancial,U call me alter at 11 ok.
205,nonfinancial,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
206,nonfinancial,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
207,nonfinancial,"Aight yo, dats straight dogg"
208,nonfinancial,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
209,nonfinancial,Both :) i shoot big loads so get ready!
210,nonfinancial,"What's up bruv, hope you had a great break. Do have a rewarding semester."
211,nonfinancial,Home so we can always chat
212,nonfinancial,K:)k:)good:)study well.
213,nonfinancial,Yup... How Ì_ noe leh...
214,nonfinancial,Sounds great! Are you home now?
215,nonfinancial,Finally the match heading towards draw as your prediction.
216,nonfinancial,Tired. I haven't slept well the past few nights.
217,nonfinancial,Easy ah?sen got selected means its good..
218,nonfinancial,I have to take exam with march 3
219,nonfinancial,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
220,nonfinancial,Ok no prob. Take ur time.
221,nonfinancial,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
222,nonfinancial,"Sorry, I'll call later"
223,nonfinancial,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
224,nonfinancial,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
225,nonfinancial,Would really appreciate if you call me. Just need someone to talk to.
226,nonfinancial,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
227,nonfinancial,Hey company elama po mudyadhu.
228,nonfinancial,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
229,nonfinancial,Dear good morning now only i am up
230,nonfinancial,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
231,nonfinancial,Dear we are going to our rubber place
232,nonfinancial,"Sorry battery died, yeah I'm here"
233,nonfinancial,Yes:)here tv is always available in work place..
234,nonfinancial,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
235,nonfinancial,I have printed it oh. So  &lt;#&gt;  come upstairs
236,nonfinancial,Or ill be a little closer like at the bus stop on the same street
237,nonfinancial,Where are you?when wil you reach here?
238,nonfinancial,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
239,nonfinancial,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
240,nonfinancial,Tomarrow final hearing on my laptop case so i cant.
241,nonfinancial,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
242,nonfinancial,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
243,nonfinancial,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
244,nonfinancial,U don't remember that old commercial?
245,nonfinancial,Too late. I said i have the website. I didn't i have or dont have the slippers
246,nonfinancial,I asked you to call him now ok
247,nonfinancial,Kallis wont bat in 2nd innings.
248,nonfinancial,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
249,nonfinancial,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
250,nonfinancial,Ranjith cal drpd Deeraj and deepak 5min hold
251,nonfinancial,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
252,nonfinancial,What you doing?how are you?
253,nonfinancial,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
254,nonfinancial,"I'm back, lemme know when you're ready"
255,nonfinancial,Don't necessarily expect it to be done before you get back though because I'm just now headin out
256,nonfinancial,Mmm so yummy babe ... Nice jolt to the suzy
257,nonfinancial,Where are you lover ? I need you ...
258,nonfinancial,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
259,nonfinancial,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?
260,nonfinancial,Yup
261,nonfinancial,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
262,nonfinancial,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
263,nonfinancial,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
264,nonfinancial,Why you Dint come with us.
265,nonfinancial,Same. Wana plan a trip sometme then
266,nonfinancial,"Not sure yet, still trying to get a hold of him"
267,nonfinancial,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
268,nonfinancial,The evo. I just had to download flash. Jealous?
269,nonfinancial,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
270,nonfinancial,"Come to mu, we're sorting out our narcotics situation"
271,nonfinancial,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
272,nonfinancial,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
273,nonfinancial,"Usf I guess, might as well take 1 car"
274,nonfinancial,No objection. My bf not coming.
275,nonfinancial,Thanx...
276,nonfinancial,Tell rob to mack his gf in the theater
277,nonfinancial,"Awesome, I'll see you in a bit"
278,nonfinancial,Just sent it. So what type of food do you like?
279,nonfinancial,All done? All handed in? Celebrations in full swing yet?
280,nonfinancial,You got called a tool?
281,nonfinancial,\Wen u miss someone
282,nonfinancial,Ok. I asked for money how far
283,nonfinancial,Okie...
284,nonfinancial,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
285,nonfinancial,"K, I might come by tonight then if my class lets out early"
286,nonfinancial,Ok..
287,nonfinancial,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
288,nonfinancial,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
289,nonfinancial,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
290,nonfinancial,Hey you told your name to gautham ah?
291,nonfinancial,Haf u found him? I feel so stupid da v cam was working.
292,nonfinancial,Oops. 4 got that bit.
293,nonfinancial,Are you this much buzy
294,nonfinancial,I accidentally deleted the message. Resend please.
295,nonfinancial,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
296,nonfinancial,Unless it's a situation where YOU GO GURL would be more appropriate
297,nonfinancial,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
298,nonfinancial,I cant pick the phone right now. Pls send a message
299,nonfinancial,Need a coffee run tomo?Can't believe it's that time of week already
300,nonfinancial,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
301,nonfinancial,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
302,nonfinancial,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
303,nonfinancial,He is a womdarfull actor
304,nonfinancial,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
305,nonfinancial,Yup... From what i remb... I think should be can book... 
306,nonfinancial,Jos ask if u wana meet up?
307,nonfinancial,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
308,nonfinancial,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
309,nonfinancial,Where are the garage keys? They aren't on the bookshelf
310,nonfinancial,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
311,nonfinancial,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
312,nonfinancial,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
313,nonfinancial,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
314,nonfinancial,You made my day. Do have a great day too.
315,nonfinancial,K.k:)advance happy pongal.
316,nonfinancial,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
317,nonfinancial,"Not really dude, have no friends i'm afraid :("
318,nonfinancial,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
319,nonfinancial,"Coffee cake, i guess..."
