,Label,Message
1850,financial,Bill dated 2012-03-27 for Rs 1111 has been generated for your Airtel fixedline/broadband relationship no. 41681417. The same will reach you by 2012-03-30. Due date: 2012-04-11.
2704,nonfinancial,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
1378,financial,"Repair ref.no for your car is JC68161171 opened on 2010-12-24 14:17hrs,ETD of your car is 2010-12-25 14:57hrs and est.repair amt is Rs.1357 Rgds, Sarden Auto Agency"
4133,nonfinancial,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
923,financial,Bill dated 2010-02-19 for Rs 107 has been generated for your Reliance fixedline/broadband relationship no. 33722614. The same will reach you by 2010-02-22. Due date: 2010-03-06.
3877,nonfinancial,Yes we are chatting too.
3343,nonfinancial,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
616,financial,Bill dated 2013-09-13 for Rs 973 has been generated for your Jio fixedline/broadband relationship no. 86524857. The same will reach you by 2013-09-16. Due date: 2013-09-28.
1105,financial,Bill dated 2010-03-12 for Rs 609 has been generated for your Airtel fixedline/broadband relationship no. 45444872. The same will reach you by 2010-03-15. Due date: 2010-03-27.
1259,financial,Bill dated 2010-09-27 for Rs 298 has been generated for your Jio fixedline/broadband relationship no. 68575567. The same will reach you by 2010-09-30. Due date: 2010-10-12.
5313,nonfinancial,"Babe, I need your advice"
2614,nonfinancial,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
3425,nonfinancial,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
3989,nonfinancial,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
1567,financial,"Repair ref.no for your car is JC87547476 opened on 2010-12-28 15:20hrs,ETD of your car is 2010-12-29 5:25hrs and est.repair amt is Rs.266 Rgds, Maruti Auto Agency"
1714,financial,Bill dated 2012-09-25 for Rs 208 has been generated for your Docomo fixedline/broadband relationship no. 87863678. The same will reach you by 2012-09-28. Due date: 2012-10-10.
5301,nonfinancial,Good. No swimsuit allowed :)
3337,nonfinancial,network operator. The service is free. For T & C's visit 80488.biz
454,financial,"Repair ref.no for your car is JC48238112 opened on 2015-03-22 10:22hrs,ETD of your car is 2015-03-23 21:17hrs and est.repair amt is Rs.566 Rgds, Sarden Auto Agency"
862,financial,Bill dated 2012-06-11 for Rs 363 has been generated for your Reliance fixedline/broadband relationship no. 47433556. The same will reach you by 2012-06-14. Due date: 2012-06-26.
949,financial,Bill dated 2010-08-01 for Rs 654 has been generated for your Aircel fixedline/broadband relationship no. 56185461. The same will reach you by 2010-08-04. Due date: 2010-08-16.
3064,nonfinancial,No..but heard abt tat..
1194,financial,"Repair ref.no for your car is JC77773862 opened on 2010-10-11 12:12hrs,ETD of your car is 2010-10-12 19:17hrs and est.repair amt is Rs.1272 Rgds, Sarden Auto Agency"
2119,nonfinancial,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
6874,nonfinancial,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
2318,nonfinancial,"I'm back, lemme know when you're ready"
2741,nonfinancial,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
2040,financial,OTP is 724653 for the txn of INR 14070.00 at Jabong on your HDFC bank CREDIT card ending with 8714. Valid till 15:43:53. Do not share the OTP with anyone for security reasons
1635,financial,"Repair ref.no for your car is JC78343353 opened on 2014-07-20 3:22hrs,ETD of your car is 2014-07-21 14:39hrs and est.repair amt is Rs.792 Rgds, True Value"
6118,nonfinancial,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
5291,nonfinancial,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
6545,nonfinancial,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
111,financial,Bill dated 2012-05-18 for Rs 641 has been generated for your Aircel fixedline/broadband relationship no. 76212361. The same will reach you by 2012-05-21. Due date: 2012-06-02.
2281,nonfinancial,Easy ah?sen got selected means its good..
6192,nonfinancial,Me i'm not workin. Once i get job...
4680,nonfinancial,I went to ur hon lab but no one is there.
4880,nonfinancial,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
6606,nonfinancial,I've been trying to reach him without success
2419,nonfinancial,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
5011,nonfinancial,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
621,financial,Bill dated 2010-10-02 for Rs 1135 has been generated for your Reliance fixedline/broadband relationship no. 41468228. The same will reach you by 2010-10-05. Due date: 2010-10-17.
1692,financial,"Repair ref.no for your car is JC26251221 opened on 2010-03-01 19:27hrs,ETD of your car is 2010-03-02 10:14hrs and est.repair amt is Rs.1240 Rgds, Maruti Auto Agency"
5983,nonfinancial,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk
2220,nonfinancial,I'm leaving my house now...
6424,nonfinancial,"Don't Think About \What u Have Got\"" Think About \""How to Use It That You Have Got\"" gooD ni8"""
6942,nonfinancial,Yeah just open chat and click friend lists. Then make the list. Easy as pie
2765,nonfinancial,"Sorry, I'll call later"
6690,nonfinancial,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
677,financial,Bill dated 2013-10-08 for Rs 1116 has been generated for your Docomo fixedline/broadband relationship no. 57435331. The same will reach you by 2013-10-11. Due date: 2013-10-23.
4953,nonfinancial,Shuhui has bought ron's present it's a swatch watch...
3291,nonfinancial,So Ì_'ll be submitting da project tmr rite?
5318,nonfinancial,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
3121,nonfinancial,Ard 515 like dat. Y?
6608,nonfinancial,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...
1004,financial,"Repair ref.no for your car is JC31876614 opened on 2009-12-22 4:35hrs,ETD of your car is 2009-12-23 5:17hrs and est.repair amt is Rs.1213 Rgds, True Value"
3685,nonfinancial,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
2965,nonfinancial,How is it possible to teach you. And where.
4761,nonfinancial,Can you use foreign stamps for whatever you send them off for? 
6853,nonfinancial,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
82,financial,Bill dated 2009-09-23 for Rs 1192 has been generated for your Bsnl fixedline/broadband relationship no. 63676737. The same will reach you by 2009-09-26. Due date: 2009-10-08.
6977,nonfinancial,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
54,financial,Bill dated 2014-06-02 for Rs 753 has been generated for your Airtel fixedline/broadband relationship no. 28884646. The same will reach you by 2014-06-05. Due date: 2014-06-17.
3355,nonfinancial,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
6844,nonfinancial,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
850,financial,Bill dated 2012-05-22 for Rs 904 has been generated for your Vodafone fixedline/broadband relationship no. 41577521. The same will reach you by 2012-05-25. Due date: 2012-06-06.
6652,nonfinancial,Have you not finished work yet or something?
1243,financial,Bill dated 2012-07-23 for Rs 1058 has been generated for your Aircel fixedline/broadband relationship no. 15266787. The same will reach you by 2012-07-26. Due date: 2012-08-07.
1341,financial,"Repair ref.no for your car is JC32254232 opened on 2011-01-12 13:35hrs,ETD of your car is 2011-01-13 7:13hrs and est.repair amt is Rs.550 Rgds, Maruti Auto Agency"
4359,nonfinancial,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
7144,nonfinancial,"Yeah, give me a call if you've got a minute"
2156,nonfinancial,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
4395,nonfinancial,At home by the way
3478,nonfinancial,So wats ur opinion abt him and how abt is character?
1858,financial,"Repair ref.no for your car is JC51382836 opened on 2013-11-23 22:32hrs,ETD of your car is 2013-11-24 3:25hrs and est.repair amt is Rs.1718 Rgds, Maha Veer Auto Agency"
497,financial,"Repair ref.no for your car is JC31723182 opened on 2013-08-24 4:32hrs,ETD of your car is 2013-08-25 15:54hrs and est.repair amt is Rs.1618 Rgds, Aryan Auto Agency"
7599,nonfinancial,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
807,financial,"Repair ref.no for your car is JC51373757 opened on 2013-06-05 11:58hrs,ETD of your car is 2013-06-06 15:36hrs and est.repair amt is Rs.1249 Rgds, True Value"
2269,nonfinancial,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
4072,nonfinancial,See the forwarding message for proof
1581,financial,"Repair ref.no for your car is JC51421143 opened on 2014-07-15 11:17hrs,ETD of your car is 2014-07-16 3:42hrs and est.repair amt is Rs.923 Rgds, Aryan Auto Agency"
2033,financial,"Dear Customer, You have made a Debit Card purchase of INR2,080.00 on 18 Feb. Info.IPS*FAMILIES SU. Your Net Available Balance is INR 17,673.69."
991,financial,Bill dated 2014-08-27 for Rs 946 has been generated for your Idea fixedline/broadband relationship no. 15232567. The same will reach you by 2014-08-30. Due date: 2014-09-11.
7182,nonfinancial,Are you driving or training?
4789,nonfinancial,No. But we'll do medical missions to nigeria
4846,nonfinancial,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
1842,financial,"Repair ref.no for your car is JC83128466 opened on 2013-03-02 21:58hrs,ETD of your car is 2013-03-03 4:35hrs and est.repair amt is Rs.2422 Rgds, Hyundai Auto Agency"
1812,financial,"Repair ref.no for your car is JC63736842 opened on 2015-01-11 8:13hrs,ETD of your car is 2015-01-12 22:38hrs and est.repair amt is Rs.2685 Rgds, Hyundai Auto Agency"
4290,nonfinancial,If you have belive me. Come to my home.
6477,nonfinancial,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
661,financial,"Repair ref.no for your car is JC56782857 opened on 2013-07-17 1:25hrs,ETD of your car is 2013-07-18 7:30hrs and est.repair amt is Rs.292 Rgds, Aryan Auto Agency"
7125,nonfinancial,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
1622,financial,"Repair ref.no for your car is JC56432645 opened on 2013-06-08 22:28hrs,ETD of your car is 2013-06-09 18:12hrs and est.repair amt is Rs.2450 Rgds, Bimal Auto Agency"
5304,nonfinancial,Ok i've sent u da latest version of da project.
2115,nonfinancial,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
5470,nonfinancial,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING"""
1166,financial,"Repair ref.no for your car is JC33345478 opened on 2014-11-17 2:58hrs,ETD of your car is 2014-11-18 10:28hrs and est.repair amt is Rs.951 Rgds, True Value"
5895,nonfinancial,Ok.
1072,financial,Bill dated 2012-01-31 for Rs 898 has been generated for your Bsnl fixedline/broadband relationship no. 52512678. The same will reach you by 2012-02-03. Due date: 2012-02-15.
2545,nonfinancial,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
4417,nonfinancial,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
1974,financial,Bill dated 2013-01-13 for Rs 951 has been generated for your Reliance fixedline/broadband relationship no. 86564848. The same will reach you by 2013-01-16. Due date: 2013-01-28.
4350,nonfinancial,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
5010,nonfinancial,Leave it. U will always be ignorant.
6701,nonfinancial,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
1540,financial,"Repair ref.no for your car is JC36532483 opened on 2013-08-04 0:15hrs,ETD of your car is 2013-08-05 2:12hrs and est.repair amt is Rs.2623 Rgds, Maha Veer Auto Agency"
5303,nonfinancial,A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd
6746,nonfinancial,Ok u can take me shopping when u get paid =D
2352,nonfinancial,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
1214,financial,Bill dated 2010-09-28 for Rs 507 has been generated for your Bsnl fixedline/broadband relationship no. 18452613. The same will reach you by 2010-10-01. Due date: 2010-10-13.
3014,nonfinancial,"Awesome, lemme know whenever you're around"
4658,nonfinancial,"That‰Û÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
5716,nonfinancial,It has issues right now. Ill fix for her by tomorrow.
2185,nonfinancial,here is my new address -apples&pairs&all that malarky
379,financial,Bill dated 2011-11-08 for Rs 745 has been generated for your Reliance fixedline/broadband relationship no. 44546746. The same will reach you by 2011-11-11. Due date: 2011-11-23.
1820,financial,Bill dated 2011-09-15 for Rs 1074 has been generated for your Vodafone fixedline/broadband relationship no. 37872673. The same will reach you by 2011-09-18. Due date: 2011-09-30.
165,financial,Bill dated 2014-10-16 for Rs 399 has been generated for your Airtel fixedline/broadband relationship no. 25814335. The same will reach you by 2014-10-19. Due date: 2014-10-31.
4827,nonfinancial,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
3609,nonfinancial,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
4551,nonfinancial,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
1466,financial,Bill dated 2010-01-31 for Rs 560 has been generated for your Docomo fixedline/broadband relationship no. 76533134. The same will reach you by 2010-02-03. Due date: 2010-02-15.
5695,nonfinancial,Oooh I got plenty of those!
3750,nonfinancial,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award
3795,nonfinancial,Lol. Well quality aint bad at all so i aint complaining
2095,nonfinancial,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
5337,nonfinancial,Thanx a lot...
2395,nonfinancial,Maybe i could get book out tomo then return it immediately ..? Or something.
635,financial,"Repair ref.no for your car is JC65553733 opened on 2013-01-07 20:55hrs,ETD of your car is 2013-01-08 1:24hrs and est.repair amt is Rs.2470 Rgds, Sarden Auto Agency"
1007,financial,"Repair ref.no for your car is JC14583216 opened on 2011-11-25 20:37hrs,ETD of your car is 2011-11-26 22:34hrs and est.repair amt is Rs.2090 Rgds, True Value"
4294,nonfinancial,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
1002,financial,Bill dated 2013-12-25 for Rs 302 has been generated for your Jio fixedline/broadband relationship no. 12761373. The same will reach you by 2013-12-28. Due date: 2014-01-09.
2637,nonfinancial,Waiting for your call.
1604,financial,"Repair ref.no for your car is JC81123874 opened on 2012-01-18 20:54hrs,ETD of your car is 2012-01-19 11:50hrs and est.repair amt is Rs.2078 Rgds, Hyundai Auto Agency"
41,financial,"Repair ref.no for your car is JC61375351 opened on 2012-11-12 23:57hrs,ETD of your car is 2012-11-13 17:32hrs and est.repair amt is Rs.531 Rgds, Aryan Auto Agency"
6641,nonfinancial,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
7017,nonfinancial,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
2588,nonfinancial,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
1664,financial,Bill dated 2012-03-31 for Rs 965 has been generated for your Docomo fixedline/broadband relationship no. 37781361. The same will reach you by 2012-04-03. Due date: 2012-04-15.
6263,nonfinancial,I will come tomorrow di
1028,financial,Bill dated 2015-05-03 for Rs 463 has been generated for your Airtel fixedline/broadband relationship no. 58581511. The same will reach you by 2015-05-06. Due date: 2015-05-18.
6643,nonfinancial,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
3722,nonfinancial,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
2994,nonfinancial,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
3572,nonfinancial,Sounds like something that someone testing me would sayy
1374,financial,"Repair ref.no for your car is JC56881518 opened on 2015-07-13 17:31hrs,ETD of your car is 2015-07-14 23:29hrs and est.repair amt is Rs.1369 Rgds, Hyundai Auto Agency"
6150,nonfinancial,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
779,financial,"Repair ref.no for your car is JC51132634 opened on 2010-09-25 11:12hrs,ETD of your car is 2010-09-26 0:41hrs and est.repair amt is Rs.459 Rgds, Maha Veer Auto Agency"
4227,nonfinancial,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
3821,nonfinancial,"Miss ya, need ya, want ya, love ya."
4002,nonfinancial,Excellent! Are you ready to moan and scream in ecstasy?
4895,nonfinancial,Its normally hot mail. Com you see!
4358,nonfinancial,You have 1 new message. Please call 08718738034.
5095,nonfinancial,Jokin only lar... :-) depends on which phone my father can get lor...
573,financial,"Repair ref.no for your car is JC47627787 opened on 2013-11-17 14:33hrs,ETD of your car is 2013-11-18 7:33hrs and est.repair amt is Rs.906 Rgds, Aryan Auto Agency"
5544,nonfinancial,Wherre's my boytoy ? :-(
4984,nonfinancial,"Yo, any way we could pick something up tonight?"
5022,nonfinancial,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
3257,nonfinancial,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248
6624,nonfinancial,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
2097,nonfinancial,For fear of fainting with the of all that housework you just did? Quick have a cuppa
1705,financial,"Repair ref.no for your car is JC63561764 opened on 2014-05-03 7:39hrs,ETD of your car is 2014-05-04 22:14hrs and est.repair amt is Rs.1702 Rgds, Bimal Auto Agency"
3999,nonfinancial,Did either of you have any idea's? Do you know of anyplaces doing something?
6799,nonfinancial,"Not for possession, especially not first offense"
7214,nonfinancial,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
668,financial,Bill dated 2011-04-06 for Rs 1023 has been generated for your Idea fixedline/broadband relationship no. 77874436. The same will reach you by 2011-04-09. Due date: 2011-04-21.
1742,financial,Bill dated 2011-04-12 for Rs 513 has been generated for your Airtel fixedline/broadband relationship no. 21513348. The same will reach you by 2011-04-15. Due date: 2011-04-27.
1179,financial,Bill dated 2014-06-04 for Rs 509 has been generated for your Reliance fixedline/broadband relationship no. 58887588. The same will reach you by 2014-06-07. Due date: 2014-06-19.
3855,nonfinancial,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
